,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.00390625
8,0.008680555555555556
9,0.0171875
10,0.019886363636363636
11,0.020833333333333332
12,0.026442307692307692
13,0.033482142857142856
14,0.03958333333333333
15,0.044921875
16,0.04779411764705882
17,0.04861111111111111
18,0.05345394736842105
19,0.0578125
20,0.058779761904761904
21,0.06392045454545454
22,0.06657608695652174
23,0.0703125
24,0.07125
25,0.07391826923076923
26,0.07407407407407407
27,0.07645089285714286
28,0.07704741379310345
29,0.08125
30,0.08366935483870967
31,0.0869140625
32,0.08948863636363637
33,0.0900735294117647
34,0.09151785714285714
35,0.09461805555555555
36,0.09797297297297297
37,0.09786184210526316
38,0.10056089743589744
39,0.100390625
40,0.10289634146341463
41,0.10379464285714286
42,0.10574127906976744
43,0.10830965909090909
44,0.10972222222222222
45,0.11073369565217392
46,0.11070478723404255
47,0.11100260416666667
48,0.11256377551020408
49,0.1140625
50,0.11488970588235294
51,0.11538461538461539
52,0.11527122641509434
53,0.11747685185185185
54,0.11875
55,0.12025669642857142
56,0.12171052631578948
57,0.12392241379310345
58,0.1271186440677966
59,0.12734375
60,0.1290983606557377
61,0.12953629032258066
62,0.13194444444444445
63,0.13232421875
64,0.13317307692307692
65,0.13517992424242425
66,0.1368936567164179
67,0.13855698529411764
68,0.1383605072463768
69,0.13883928571428572
70,0.14018485915492956
71,0.14171006944444445
72,0.1425513698630137
73,0.14358108108108109
74,0.143125
75,0.14453125
76,0.14508928571428573
77,0.14603365384615385
78,0.14774525316455697
79,0.1490234375
80,0.15007716049382716
81,0.15129573170731708
82,0.15248493975903615
83,0.15383184523809523
84,0.15533088235294118
85,0.1569767441860465
86,0.1584051724137931
87,0.15838068181818182
88,0.15870786516853932
89,0.159375
90,0.16088598901098902
91,0.16202445652173914
92,0.16213037634408603
93,0.16306515957446807
94,0.16365131578947367
95,0.1640625
96,0.16510953608247422
97,0.16501913265306123
98,0.16524621212121213
99,0.16515625
100,0.1661509900990099
101,0.16636029411764705
102,0.16732402912621358
103,0.16856971153846154
104,0.1693452380952381
105,0.16892688679245282
106,0.169392523364486
107,0.16927083333333334
108,0.169151376146789
109,0.17130681818181817
110,0.17159346846846846
111,0.17257254464285715
112,0.17339601769911506
113,0.17461622807017543
114,0.17459239130434784
115,0.17537715517241378
116,0.17614850427350429
117,0.1765095338983051
118,0.17725840336134455
119,0.17760416666666667
120,0.17858987603305784
121,0.1794313524590164
122,0.179369918699187
123,0.17993951612903225
124,0.180125
125,0.1806795634920635
126,0.18110236220472442
127,0.180908203125
128,0.18095930232558138
129,0.18173076923076922
130,0.18201335877862596
131,0.1825284090909091
132,0.18268327067669174
133,0.18318563432835822
134,0.18368055555555557
135,0.18370863970588236
136,0.18373631386861314
137,0.18365036231884058
138,0.18367805755395683
139,0.18415178571428573
140,0.18506205673758866
141,0.18595950704225353
142,0.18673513986013987
143,0.1867404513888889
144,0.1870689655172414
145,0.1878210616438356
146,0.1875
147,0.18792229729729729
148,0.1886535234899329
149,0.18885416666666666
150,0.18936258278145696
151,0.18986430921052633
152,0.190359477124183
153,0.19074675324675325
154,0.1912298387096774
155,0.19220753205128205
156,0.19247611464968153
157,0.192939082278481
158,0.19310141509433962
159,0.19296875
160,0.19312888198757763
161,0.19425154320987653
162,0.19497699386503067
163,0.1952172256097561
164,0.1952651515151515
165,0.1956890060240964
166,0.19526571856287425
167,0.19540550595238096
168,0.19563609467455623
169,0.19595588235294117
170,0.19618055555555555
171,0.19685683139534885
172,0.19671242774566475
173,0.19692887931034483
174,0.19767857142857143
175,0.19797585227272727
176,0.19809322033898305
177,0.19812148876404495
178,0.1985858938547486
179,0.19869791666666667
180,0.19906767955801105
181,0.19951923076923078
182,0.19962431693989072
183,0.20040760869565216
184,0.20076013513513513
185,0.2007728494623656
186,0.201370320855615
187,0.20113031914893617
188,0.20205026455026456
189,0.20205592105263157
190,0.20214332460732984
191,0.2021484375
192,0.20247733160621761
193,0.20248067010309279
194,0.20272435897435898
195,0.2029655612244898
196,0.20296637055837563
197,0.20265151515151514
198,0.2028894472361809
199,0.203046875
200,0.20343594527363185
201,0.20397586633663367
202,0.20466440886699508
203,0.20496323529411764
204,0.2055640243902439
205,0.2054763349514563
206,0.20576690821256038
207,0.20582932692307693
208,0.2063397129186603
209,0.20647321428571427
210,0.20697571090047392
211,0.20725235849056603
212,0.2076731220657277
213,0.20787091121495327
214,0.20784883720930233
215,0.20797164351851852
216,0.20809331797235023
217,0.20864392201834864
218,0.209189497716895
219,0.20951704545454544
220,0.2097002262443439
221,0.21051520270270271
222,0.21069226457399104
223,0.21086774553571427
224,0.21069444444444443
225,0.21128318584070796
226,0.21138491189427314
227,0.21155427631578946
228,0.21179039301310043
229,0.21175271739130436
230,0.2113771645021645
231,0.2115436422413793
232,0.21157457081545064
233,0.21180555555555555
234,0.211968085106383
235,0.2121292372881356
236,0.21248681434599156
237,0.21303834033613445
238,0.21332374476987448
239,0.21328125
240,0.21369294605809128
241,0.21416580578512398
242,0.2143775720164609
243,0.2145235655737705
244,0.2145408163265306
245,0.2148755081300813
246,0.21508097165991902
247,0.21509576612903225
248,0.21567520080321284
249,0.2160625
250,0.21625996015936255
251,0.21633184523809523
252,0.21695899209486166
253,0.2170890748031496
254,0.2173406862745098
255,0.2177734375
256,0.21832441634241245
257,0.21868943798449614
258,0.21887065637065636
259,0.21893028846153847
260,0.21898946360153257
261,0.21958492366412213
262,0.219819391634981
263,0.22005208333333334
264,0.21987028301886793
265,0.22057095864661655
266,0.22091526217228463
267,0.22125699626865672
268,0.22142193308550187
269,0.2214699074074074
270,0.22169049815498154
271,0.22231158088235295
272,0.22241300366300365
273,0.22291286496350365
274,0.22289772727272728
275,0.2235054347826087
276,0.22399593862815884
277,0.22380845323741008
278,0.22395833333333334
279,0.22405133928571427
280,0.22419928825622776
281,0.22495567375886524
282,0.2252650176678445
283,0.22562720070422534
284,0.22582236842105263
285,0.22618006993006992
286,0.2263719512195122
287,0.2263454861111111
288,0.22631920415224913
289,0.2263469827586207
290,0.2263208762886598
291,0.2264554794520548
292,0.22685580204778158
293,0.226828231292517
294,0.22690677966101694
295,0.22719594594594594
296,0.22722011784511784
297,0.22740142617449666
298,0.2278950668896321
299,0.228125
300,0.22840531561461794
301,0.22821812913907286
302,0.22854785478547854
303,0.22897820723684212
304,0.22914959016393444
305,0.229421977124183
306,0.22943811074918566
307,0.22955560064935066
308,0.22972289644012944
309,0.22993951612903227
310,0.23010450160771703
311,0.2301181891025641
312,0.23038138977635783
313,0.23099124203821655
314,0.23100198412698414
315,0.2312104430379747
316,0.2311218454258675
317,0.2311812106918239
318,0.23114224137931033
319,0.231298828125
320,0.2315031152647975
321,0.23170613354037267
322,0.23166602167182662
323,0.23196373456790123
