,0
0,0.0
1,0.0234375
2,0.06770833333333333
3,0.078125
4,0.115625
5,0.125
6,0.14955357142857142
7,0.150390625
8,0.15625
9,0.1625
10,0.17045454545454544
11,0.17708333333333334
12,0.1814903846153846
13,0.1875
14,0.18854166666666666
15,0.1904296875
16,0.19209558823529413
17,0.1935763888888889
18,0.19325657894736842
19,0.1984375
20,0.19866071428571427
21,0.19602272727272727
22,0.1956521739130435
23,0.19791666666666666
24,0.196875
25,0.19471153846153846
26,0.19733796296296297
27,0.19810267857142858
28,0.19881465517241378
29,0.19791666666666666
30,0.19959677419354838
31,0.20166015625
32,0.203125
33,0.20036764705882354
34,0.19955357142857144
35,0.20225694444444445
36,0.20270270270270271
37,0.203125
38,0.20673076923076922
39,0.20625
40,0.2073170731707317
41,0.20833333333333334
42,0.20930232558139536
43,0.2098721590909091
44,0.21284722222222222
45,0.21501358695652173
46,0.2170877659574468
47,0.21744791666666666
48,0.21715561224489796
49,0.2184375
50,0.21875
51,0.2205528846153846
52,0.22110849056603774
53,0.2204861111111111
54,0.22017045454545456
55,0.22042410714285715
56,0.22286184210526316
57,0.22332974137931033
58,0.22378177966101695
59,0.2265625
60,0.22822745901639344
61,0.2283266129032258
62,0.22941468253968253
63,0.22802734375
64,0.22908653846153845
65,0.23011363636363635
66,0.23180970149253732
67,0.2339154411764706
68,0.2341485507246377
69,0.23415178571428572
70,0.234375
71,0.2339409722222222
72,0.2345890410958904
73,0.23479729729729729
74,0.23604166666666668
75,0.23684210526315788
76,0.237012987012987
77,0.23657852564102563
78,0.2377373417721519
79,0.2388671875
80,0.23939043209876543
81,0.23971036585365854
82,0.2398343373493976
83,0.24032738095238096
84,0.23970588235294119
85,0.24091569767441862
86,0.24102011494252873
87,0.24200994318181818
88,0.24280196629213482
89,0.24288194444444444
90,0.24296016483516483
91,0.24337635869565216
92,0.24327956989247312
93,0.24285239361702127
94,0.24407894736842106
95,0.2451171875
96,0.24565077319587628
97,0.24665178571428573
98,0.2481060606060606
99,0.2475
100,0.24798886138613863
101,0.24785539215686275
102,0.24848300970873785
103,0.24879807692307693
104,0.24851190476190477
105,0.24985259433962265
106,0.25
107,0.2504340277777778
108,0.25071674311926606
109,0.25113636363636366
110,0.25182995495495497
111,0.251953125
112,0.2529037610619469
113,0.2526041666666667
114,0.253125
115,0.25390625
116,0.25400641025641024
117,0.2543697033898305
118,0.2548581932773109
119,0.2545572916666667
120,0.25555268595041325
121,0.25550717213114754
122,0.25558943089430897
123,0.2547883064516129
124,0.25525
125,0.255828373015873
126,0.2562746062992126
127,0.2568359375
128,0.2567829457364341
129,0.2567307692307692
